musica,artista,genero,popularidade,danceability,energy,valence,bpm,loudness,status_hit
The Haves,Eddie Vedder,acoustic,0,0.474,0.519,0.326,151.832,-5.291,Normal
When You're Wrong,Brandi Carlile,acoustic,0,0.568,0.301,0.142,88.029,-10.163,Normal
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0,0.568,0.686,0.725,172.075,-6.635,Normal
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0,0.568,0.686,0.725,172.075,-6.635,Normal
"Speak Your Mind (From the Netflix Series ""We The People"")",Brandi Carlile,acoustic,0,0.476,0.666,0.498,148.155,-3.438,Normal
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0,0.568,0.686,0.725,172.075,-6.635,Normal
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0,0.568,0.686,0.725,172.075,-6.635,Normal
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0,0.568,0.686,0.725,172.075,-6.635,Normal
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0,0.568,0.686,0.725,172.075,-6.635,Normal
You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0,0.568,0.686,0.725,172.075,-6.635,Normal
Trampoline - Acoustic,Highland Peak,acoustic,46,0.596,0.2,0.308,107.893,-10.424,Normal
透明だった世界,Motohiro Hata,acoustic,61,0.373,0.914,0.56,168.21,-4.185,Normal
Pieces,Andrew Belle,acoustic,60,0.494,0.652,0.298,137.018,-5.863,Normal
A Drop in the Ocean,Ron Pope,acoustic,68,0.447,0.393,0.564,73.139,-8.65,Normal
So Far Away - Acoustic,Adam Christopher,acoustic,52,0.576,0.331,0.407,149.02,-9.389,Normal
The Enemy,Andrew Belle,acoustic,62,0.536,0.89,0.273,121.974,-5.222,Normal
Build It Better,Aron Wright,acoustic,51,0.526,0.333,0.159,94.951,-13.02,Normal
Sleepwalking in the Rain,Chord Overstreet,acoustic,0,0.501,0.381,0.502,80.075,-9.448,Normal
Gravity,Sara Bareilles,acoustic,67,0.27,0.275,0.231,168.964,-10.357,Normal
What's Left of You,Chord Overstreet,acoustic,57,0.731,0.507,0.265,117.969,-6.477,Normal
Pano,Zack Tabudlo,acoustic,75,0.375,0.457,0.415,174.839,-7.018,Hit
Sky's Still Blue,Andrew Belle,acoustic,62,0.43,0.791,0.217,171.864,-5.419,Normal
And I Love Her,Kurt Cobain,acoustic,66,0.616,0.282,0.435,96.638,-15.317,Normal
We Can't Stop,Boyce Avenue;Bea Miller,acoustic,64,0.705,0.347,0.36,80.057,-8.249,Normal
Always Be My Baby,Tim Halperin,acoustic,62,0.582,0.255,0.285,139.884,-10.254,Normal
Alone with You,Canyon City,acoustic,58,0.549,0.274,0.207,86.664,-12.565,Normal
Making All Things New,Aaron Espe,acoustic,65,0.787,0.355,0.48,99.978,-11.429,Normal
She Used To Be Mine,Sara Bareilles,acoustic,67,0.397,0.303,0.172,81.05,-7.508,Normal
In My Veins - Feat. Erin Mccarley,Andrew Belle,acoustic,65,0.548,0.42,0.196,128.012,-7.842,Normal
I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,acoustic,44,0.787,0.403,0.264,118.042,-11.989,Normal
A Drop In the Ocean,Ron Pope,acoustic,55,0.484,0.573,0.346,139.966,-6.183,Normal
Superman (It's Not Easy),Five For Fighting,acoustic,70,0.382,0.416,0.125,102.089,-9.303,Hit
When the End Comes,Andrew Belle,acoustic,57,0.541,0.575,0.428,91.98,-9.463,Normal
You're Still The One,Bailey Jehl,acoustic,56,0.607,0.473,0.54,119.698,-8.555,Normal
Light Me Up,Ingrid Michaelson,acoustic,56,0.417,0.595,0.117,147.928,-7.84,Normal
93 Million Miles,Jason Mraz,acoustic,67,0.572,0.454,0.515,140.182,-10.286,Normal
Kaleidoscope,A Great Big World,acoustic,62,0.709,0.913,0.519,108.024,-5.148,Normal
The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,acoustic,45,0.537,0.342,0.253,109.236,-13.553,Normal
What Would I Do Without You,Drew Holcomb & The Neighbors,acoustic,64,0.602,0.336,0.335,90.894,-11.106,Normal
Have It All,Jason Mraz,acoustic,65,0.643,0.638,0.6,82.001,-4.947,Normal
Heavy Heart,Gabrielle Aplin,acoustic,0,0.451,0.7,0.37,150.055,-6.597,Normal
The House We Never Built,Gabrielle Aplin,acoustic,0,0.546,0.391,0.202,139.669,-10.786,Normal
Society,Eddie Vedder,acoustic,68,0.561,0.327,0.298,161.858,-10.835,Normal
Please Don't Say You Love Me,Gabrielle Aplin,acoustic,0,0.479,0.541,0.3,85.994,-9.862,Normal
Please Don't Say You Love Me,Gabrielle Aplin,acoustic,0,0.479,0.541,0.3,85.994,-9.862,Normal
Guaranteed,Eddie Vedder,acoustic,61,0.436,0.4,0.351,100.734,-11.485,Normal
Brave,Sara Bareilles,acoustic,70,0.551,0.836,0.758,185.063,-3.838,Hit
Lonely This Christmas,KT Tunstall,acoustic,0,0.409,0.153,0.18,85.262,-10.74,Normal
Lonely This Christmas,KT Tunstall,acoustic,0,0.409,0.153,0.18,85.262,-10.74,Normal
Heaven Knows,Five For Fighting,acoustic,62,0.6,0.845,0.392,97.631,-7.076,Normal
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,0.492,0.145,0.218,90.078,-14.504,Normal
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,0.492,0.145,0.218,90.078,-14.504,Normal
Fairytale Of New York,KT Tunstall,acoustic,0,0.447,0.555,0.33,117.888,-6.018,Normal
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,0.492,0.145,0.218,90.078,-14.504,Normal
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,0.492,0.145,0.218,90.078,-14.504,Normal
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,0.492,0.145,0.218,90.078,-14.504,Normal
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,0.492,0.145,0.218,90.078,-14.504,Normal
I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0,0.492,0.145,0.218,90.078,-14.504,Normal
Hold On,KT Tunstall,acoustic,0,0.661,0.937,0.805,105.549,-5.157,Normal
Suddenly I See,KT Tunstall,acoustic,0,0.603,0.78,0.693,100.499,-5.531,Normal
Rain,Motohiro Hata,acoustic,58,0.626,0.655,0.542,92.003,-6.69,Normal
Somebody Else - Acoustic,Callum J Wright,acoustic,50,0.794,0.38,0.617,114.99,-8.769,Normal
Pieces (Hushed),Andrew Belle,acoustic,59,0.52,0.279,0.0951,69.642,-10.739,Normal
Mirrors,Boyce Avenue;Fifth Harmony,acoustic,57,0.545,0.658,0.683,76.971,-7.174,Normal
Stand by Me,Boyce Avenue,acoustic,60,0.728,0.266,0.307,115.189,-7.322,Normal
Losing Me,Gabrielle Aplin;JP Cooper,acoustic,61,0.66,0.407,0.257,133.86,-8.381,Normal
なんでもないや - movie ver.,Mone Kamishiraishi,acoustic,49,0.357,0.161,0.325,83.449,-10.667,Normal
You’re Beautiful - Acoustic,John Adams,acoustic,55,0.479,0.154,0.36,147.207,-11.282,Normal
Hikare Inochi,Kitri,acoustic,51,0.592,0.769,0.385,102.033,-5.268,Normal
How To Lose a Girl,Tyler Ward,acoustic,46,0.7,0.454,0.34,80.011,-10.39,Normal
Can’t Help Falling in Love,Boyce Avenue,acoustic,57,0.402,0.197,0.148,100.044,-10.775,Normal
Dive Deep (Hushed),Andrew Belle,acoustic,58,0.507,0.378,0.085,135.86,-9.019,Normal
When the Party's over (Acoustic Piano),Ben Woodward,acoustic,51,0.619,0.226,0.188,124.96,-13.453,Normal
Boston,Augustana,acoustic,63,0.404,0.571,0.29,147.01,-5.069,Normal
Living in the Shadows,Matthew Perryman Jones,acoustic,53,0.418,0.79,0.197,175.975,-6.599,Normal
In Case You Didn’t Know,Boyce Avenue,acoustic,60,0.633,0.299,0.341,147.549,-7.798,Normal
death bed (coffee for your head),Andrew Foy;Renee Foy,acoustic,47,0.565,0.0392,0.601,125.399,-28.276,Normal
You Are My Sunshine,Kina Grannis,acoustic,60,0.664,0.0755,0.575,80.004,-19.836,Normal
I Won't Give Up,Jason Mraz,acoustic,66,0.585,0.303,0.142,136.703,-10.058,Normal
I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,acoustic,67,0.65,0.271,0.21,78.036,-11.081,Normal
Only Love Can Hurt Like This,Meg Birch,acoustic,43,0.534,0.213,0.0998,98.385,-8.64,Normal
Mr Blue,Catherine Feeny,acoustic,54,0.456,0.386,0.612,165.733,-10.293,Normal
Do Not Let Me Go,Joshua Hyslop,acoustic,60,0.409,0.234,0.145,139.832,-13.711,Normal
Holding On And Letting Go,Ross Copperman,acoustic,49,0.502,0.53,0.102,78.046,-9.573,Normal
You Already Know,JJ Heller,acoustic,57,0.496,0.117,0.318,78.068,-12.884,Normal
Believer (Remix),Ben Woodward,acoustic,42,0.585,0.724,0.333,187.484,-6.513,Normal
Collide - Acoustic Version,Howie Day,acoustic,67,0.582,0.253,0.294,90.186,-11.43,Normal
Love Like This,Ben Rector,acoustic,61,0.637,0.14,0.392,139.78,-11.472,Normal
Come On Get Higher,Matt Nathanson,acoustic,71,0.672,0.623,0.617,92.018,-5.699,Hit
"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,acoustic,49,0.422,0.272,0.113,143.413,-10.772,Normal
Kiss Me Slowly,Parachute,acoustic,61,0.47,0.801,0.431,173.92,-6.426,Normal
Without You,Parachute,acoustic,61,0.564,0.864,0.534,95.984,-5.121,Normal
Absolutely Zero,Jason Mraz,acoustic,20,0.521,0.495,0.116,135.061,-7.756,Normal
Sleep All Day,Jason Mraz,acoustic,22,0.616,0.81,0.79,97.994,-6.51,Normal
You and I Both,Jason Mraz,acoustic,35,0.615,0.812,0.74,98.954,-6.573,Normal
Long Nights,Eddie Vedder,acoustic,60,0.478,0.305,0.0974,108.66,-13.062,Normal
Please Don't Say You Love Me,Gabrielle Aplin,acoustic,59,0.479,0.541,0.321,85.994,-9.862,Normal
Suddenly I See,KT Tunstall,acoustic,73,0.587,0.767,0.664,100.38,-5.713,Hit
Who Needs Shelter,Jason Mraz,acoustic,22,0.514,0.569,0.264,142.597,-7.866,Normal
No Stopping Us,Jason Mraz,acoustic,19,0.646,0.836,0.727,105.991,-6.203,Normal
I'll Do Anything,Jason Mraz,acoustic,24,0.57,0.711,0.648,163.117,-4.155,Normal
Make You Feel My Love,JJ Heller,acoustic,57,0.678,0.199,0.262,72.006,-9.785,Normal
The Remedy (I Won't Worry),Jason Mraz,acoustic,35,0.589,0.867,0.795,94.52,-4.523,Normal
Too Much Food,Jason Mraz,acoustic,20,0.626,0.926,0.548,99.997,-4.441,Normal
The Boy's Gone,Jason Mraz,acoustic,18,0.686,0.556,0.36,112.997,-8.5,Normal
"On Love, in Sadness",Jason Mraz,acoustic,19,0.56,0.832,0.802,100.957,-5.595,Normal
Curbside Prophet,Jason Mraz,acoustic,23,0.619,0.793,0.892,177.991,-5.964,Normal
"Tonight, Not Again - Live",Jason Mraz,acoustic,19,0.56,0.278,0.594,102.187,-12.501,Normal
"Tonight, Not Again",Jason Mraz,acoustic,18,0.595,0.805,0.359,102.44,-7.926,Normal
Hard Sun,Eddie Vedder,acoustic,65,0.438,0.827,0.645,143.377,-6.531,Normal
Here with Me,Susie Suh;Robot Koch,acoustic,55,0.582,0.375,0.106,129.909,-13.277,Normal
The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,acoustic,47,0.453,0.295,0.14,146.022,-12.881,Normal
Collide,Howie Day,acoustic,56,0.636,0.625,0.342,93.931,-7.895,Normal
get better,Eden Elf;Ren Avel,acoustic,53,0.639,0.201,0.4,88.107,-16.613,Normal
Sympathy,Kitri,acoustic,49,0.69,0.423,0.59,130.121,-9.194,Normal
Let It Go,Boyce Avenue;Rachel Grae,acoustic,51,0.599,0.349,0.444,147.913,-9.269,Normal
What You Need,Chord Overstreet,acoustic,53,0.519,0.264,0.192,140.354,-11.171,Normal
100 Years,Five For Fighting,acoustic,66,0.643,0.569,0.275,120.507,-7.459,Normal
You're the Sea,Andrew Belle,acoustic,56,0.573,0.624,0.529,161.025,-9.076,Normal
No Direction,Rachael Yamagata,acoustic,47,0.654,0.821,0.613,111.958,-5.472,Normal
Belong,Cary Brothers,acoustic,51,0.426,0.399,0.217,115.979,-8.447,Normal
As It Was,The Mayries,acoustic,55,0.505,0.21,0.323,80.721,-11.349,Normal
I'm Yours,Jason Mraz,acoustic,60,0.693,0.43,0.731,151.001,-9.395,Normal
Chi Mai,Joseph Sullinger,acoustic,40,0.739,0.287,0.557,80.64,-14.007,Normal
Say Something,A Great Big World;Christina Aguilera,acoustic,58,0.453,0.146,0.0915,137.905,-8.976,Normal
Had It All,Parachute,acoustic,55,0.606,0.54,0.249,79.952,-6.271,Normal
Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,acoustic,50,0.595,0.646,0.563,120.049,-5.495,Normal
Whole Again - Acoustic Version,Tobey Rosen,acoustic,52,0.736,0.145,0.235,129.832,-9.215,Normal
Overpass Graffiti,The Mayries,acoustic,54,0.479,0.126,0.279,96.327,-13.974,Normal
Love Song,Sara Bareilles,acoustic,73,0.583,0.786,0.573,123.055,-3.142,Hit
Let Her Go,Andrew Foy;Renee Foy,acoustic,38,0.549,0.291,0.376,75.153,-13.457,Normal
Brighter Than Sunshine,Aqualung,acoustic,53,0.418,0.489,0.398,72.891,-8.373,Normal
Love Story,Tyler Ward;Karis;Ray Lorraine,acoustic,55,0.498,0.12,0.338,121.187,-17.721,Normal
Mujer con Abanico,Agustín Amigó;Nylonwings,acoustic,41,0.769,0.135,0.471,103.939,-12.049,Normal
In the Shadows,Amy Stroup,acoustic,46,0.434,0.469,0.0568,136.282,-7.849,Normal
Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,acoustic,63,0.452,0.198,0.217,119.499,-9.374,Normal
The Story,Brandi Carlile,acoustic,66,0.544,0.5,0.177,93.621,-8.253,Normal
Better,JJ Heller,acoustic,54,0.662,0.187,0.233,104.988,-9.003,Normal
Iris,Kina Grannis,acoustic,62,0.497,0.13,0.179,130.769,-15.571,Normal
Rockabye - Acoustic Version,The Mayries,acoustic,57,0.528,0.291,0.355,76.805,-9.696,Normal
I Need You More Today,Caleb Santos;Viva Music Publishing Inc.,acoustic,68,0.461,0.522,0.446,157.768,-7.513,Normal
Beautiful Soul,Boyce Avenue,acoustic,62,0.483,0.506,0.705,87.337,-6.058,Normal
Let's See What The Night Can Do,Jason Mraz,acoustic,53,0.392,0.423,0.288,113.537,-7.813,Normal
"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,acoustic,44,0.42,0.2,0.164,87.248,-18.827,Normal
Forever And Always,Parachute,acoustic,57,0.657,0.716,0.435,93.924,-5.675,Normal
Fine On The Outside,Priscilla Ahn,acoustic,52,0.495,0.185,0.196,101.89,-13.824,Normal
Tortured Soul,Chord Overstreet,acoustic,53,0.55,0.499,0.144,86.966,-9.502,Normal
I Believe in You,JJ Heller,acoustic,53,0.534,0.359,0.267,131.804,-9.311,Normal
At Home,Jon Bryant,acoustic,55,0.378,0.52,0.357,73.744,-10.965,Normal
"Portland, Maine",Donovan Woods,acoustic,66,0.606,0.349,0.156,80.071,-13.967,Normal
Holding On and Letting Go,Ross Copperman,acoustic,49,0.486,0.555,0.0992,77.987,-9.466,Normal
The Flood,Joshua Hyslop,acoustic,60,0.577,0.446,0.262,81.005,-11.343,Normal
Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,acoustic,38,0.59,0.407,0.276,145.852,-9.079,Normal
Out of My League,Stephen Speaks,acoustic,67,0.538,0.315,0.4,91.921,-10.057,Normal
Say Something,A Great Big World,acoustic,57,0.447,0.158,0.142,140.942,-7.571,Normal
Rise,Eddie Vedder,acoustic,60,0.401,0.58,0.526,173.277,-6.86,Normal
World Spins Madly On,The Weepies;Deb Talan;Steve Tannen,acoustic,64,0.502,0.311,0.4,107.612,-13.421,Normal
Stumble,Freddie King,acoustic,0,0.678,0.612,0.857,118.381,-9.764,Normal
Paradise,Taj Mahal,acoustic,0,0.65,0.406,0.862,79.642,-13.492,Normal
"Moonlight, Mistletoe & You",Keb' Mo';Gerald Albright,acoustic,0,0.649,0.399,0.342,97.498,-7.894,Normal
ひまわりの約束,Motohiro Hata,acoustic,61,0.523,0.445,0.336,78.957,-6.359,Normal
Since U Been Gone - Acoustic Version,Thomas Daniel,acoustic,50,0.538,0.162,0.366,94.981,-13.31,Normal
"One more time,One more chance",Masayoshi Yamazaki,acoustic,47,0.519,0.429,0.396,129.491,-7.707,Normal
Creep,Kina Grannis,acoustic,58,0.585,0.103,0.179,133.057,-12.682,Normal
Higher Love,Todd Carey;Ariza;Chuck Leavell,acoustic,30,0.578,0.763,0.394,96.808,-4.824,Normal
Hyouriittai,YUZU,acoustic,52,0.223,0.891,0.333,159.888,-3.626,Normal
How Long Will I Love You,Canyon City,acoustic,55,0.382,0.157,0.224,136.11,-16.157,Normal
Binibini,Zack Tabudlo,acoustic,67,0.642,0.374,0.0979,129.863,-10.606,Normal
You Were Supposed to Be Different,Aron Wright,acoustic,45,0.436,0.239,0.137,73.761,-12.83,Normal
Thinking out Loud,Boyce Avenue,acoustic,56,0.702,0.326,0.628,79.904,-6.638,Normal
Perfect / Style,Jonah Baker,acoustic,37,0.593,0.292,0.375,111.121,-12.755,Normal
Poison & Wine,The Civil Wars,acoustic,54,0.285,0.186,0.203,153.848,-12.729,Normal
Collide,Howie Day,acoustic,66,0.636,0.625,0.342,93.931,-7.895,Normal
You And I,Ingrid Michaelson,acoustic,63,0.698,0.285,0.53,135.027,-7.632,Normal
Give Me Your Forever (ft. Billkin),Zack Tabudlo;Billkin,acoustic,58,0.601,0.439,0.275,99.976,-7.589,Normal
Falling in Love at a Coffee Shop,Landon Pigg,acoustic,55,0.332,0.298,0.243,83.555,-14.174,Normal
Breathe (2 AM),Anna Nalick,acoustic,65,0.386,0.452,0.287,169.837,-7.715,Normal
Habang Buhay,Zack Tabudlo,acoustic,69,0.62,0.668,0.183,118.013,-5.719,Normal
Beautiful Soul,Jonah Baker,acoustic,44,0.394,0.281,0.485,90.044,-11.12,Normal
Bulletproof,Ben Woodward,acoustic,39,0.59,0.552,0.635,155.101,-10.496,Normal
Spectrum,Andrew Belle,acoustic,54,0.539,0.717,0.212,117.973,-7.385,Normal
Girls Like You - Acoustic Version,Jonah Baker,acoustic,44,0.543,0.138,0.3,115.65,-14.331,Normal
Nangangamba,Zack Tabudlo,acoustic,70,0.62,0.547,0.208,98.032,-6.772,Hit
Better Together,Us The Duo,acoustic,64,0.761,0.311,0.553,109.891,-10.597,Normal
Heartbreak Anniversary,Andrew Foy;Renee Foy,acoustic,40,0.674,0.122,0.339,130.014,-17.963,Normal
One More Time Around,Tyler Ward;Karis;Ray Lorraine,acoustic,47,0.429,0.358,0.187,134.279,-9.076,Normal
Say Something,A Great Big World,acoustic,40,0.456,0.101,0.155,139.896,-11.75,Normal
Heart Can’t Lose,Zack Tabudlo,acoustic,55,0.647,0.567,0.374,125.871,-8.971,Normal
I Ain't Ever Loved No One - Acoustic,Donovan Woods;Tenille Townes,acoustic,57,0.322,0.213,0.16,160.389,-14.915,Normal
Empty,Ray LaMontagne,acoustic,48,0.482,0.381,0.42,81.712,-13.93,Normal
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,acoustic,54,0.393,0.207,0.262,163.99,-11.865,Normal
The Reason,Tim Halperin,acoustic,53,0.423,0.207,0.209,149.664,-8.811,Normal
Fix You,Canyon City,acoustic,60,0.522,0.152,0.133,144.055,-14.996,Normal
Hand to Hold,JJ Heller,acoustic,54,0.547,0.313,0.261,133.737,-7.982,Normal
Hold You in My Arms,Ray LaMontagne,acoustic,62,0.504,0.321,0.577,170.134,-13.807,Normal
One Last Dance,Us The Duo,acoustic,51,0.466,0.161,0.171,139.167,-14.498,Normal
Heaven,Boyce Avenue;Megan Nicole,acoustic,61,0.619,0.28,0.292,129.948,-10.238,Normal
The Spark - Bonus Track,Joshua Hyslop,acoustic,51,0.596,0.429,0.229,148.086,-10.16,Normal
American Beauty,Drew Holcomb & The Neighbors,acoustic,63,0.645,0.169,0.178,167.826,-15.744,Normal
Such A Simple Thing,Ray LaMontagne,acoustic,65,0.522,0.256,0.13,76.349,-11.216,Normal
Colors,Amos Lee,acoustic,64,0.681,0.168,0.29,128.615,-13.397,Normal
Someone You Loved,Boyce Avenue,acoustic,57,0.736,0.364,0.371,110.023,-5.966,Normal
More Than Friends (feat. Meghan Trainor),Jason Mraz;Meghan Trainor,acoustic,54,0.451,0.528,0.527,139.28,-6.984,Normal
Flurry Rush,Days N Daze,acoustic,37,0.371,0.674,0.92,87.603,-3.72,Normal
I Choose You,Sara Bareilles,acoustic,63,0.731,0.572,0.947,154.038,-7.889,Normal
I Do Adore,Mindy Gledhill,acoustic,53,0.69,0.334,0.8,74.721,-5.626,Normal
I'll Be Home For Christmas,Dave Barnes,acoustic,0,0.594,0.307,0.24,94.026,-13.062,Normal
Fuck You,Get Dead,acoustic,36,0.608,0.917,0.936,117.875,-5.341,Normal
Christmas Comes But Once A Year,Albert King,acoustic,0,0.687,0.494,0.621,93.269,-9.421,Normal
Christmas Comes But Once A Year,Albert King,acoustic,0,0.687,0.494,0.621,93.269,-9.421,Normal
If I Ain't Got You - Acoustic,John Adams,acoustic,55,0.652,0.15,0.361,104.018,-12.699,Normal
Believe - Acoustic,John Adams,acoustic,57,0.765,0.241,0.182,123.95,-8.865,Normal
Iris - Acoustic,Adam Christopher,acoustic,54,0.589,0.249,0.363,150.096,-10.086,Normal
Rain - Long Ver.,Motohiro Hata,acoustic,44,0.588,0.604,0.351,92.02,-7.602,Normal
C'est si bon,Aoi Teshima,acoustic,51,0.735,0.203,0.479,113.913,-13.237,Normal
Baby (Acoustic Version),Jonah Baker,acoustic,42,0.655,0.147,0.328,116.103,-14.409,Normal
Reason,YUZU,acoustic,47,0.363,0.819,0.468,122.527,-3.128,Normal
I Like Me Better,Boyce Avenue;Emma Heesters,acoustic,54,0.473,0.263,0.315,87.145,-8.609,Normal
Asan Ka Na Ba,Zack Tabudlo,acoustic,73,0.676,0.768,0.493,105.999,-5.695,Hit
A Thousand Years,Boyce Avenue,acoustic,56,0.41,0.221,0.228,139.529,-11.673,Normal
drivers license,Thomas Daniel,acoustic,56,0.439,0.217,0.373,144.413,-13.166,Normal
Love Someone,Jason Mraz,acoustic,59,0.582,0.347,0.0797,97.957,-14.769,Normal
The Winner Takes It All - Acoustic,Jae Hall,acoustic,57,0.426,0.127,0.149,62.535,-13.287,Normal
Only Time,Aaron Espe,acoustic,56,0.696,0.261,0.361,136.053,-12.107,Normal
Almost Lover,A Fine Frenzy,acoustic,57,0.549,0.24,0.167,119.58,-7.778,Normal
Dance Monkey,Roses & Frey,acoustic,51,0.541,0.192,0.317,139.938,-13.995,Normal
Ocean,Parachute,acoustic,48,0.662,0.711,0.352,119.989,-4.924,Normal
Dream a Little Dream of Me,Kina Grannis,acoustic,52,0.665,0.185,0.458,82.474,-13.852,Normal
Back For Good,The Mayries,acoustic,54,0.591,0.175,0.352,139.902,-12.959,Normal
OK,Canyon City,acoustic,55,0.489,0.183,0.486,79.961,-14.769,Normal
Just The Two Of Us,Andrew Foy;Renee Foy,acoustic,41,0.618,0.083,0.597,90.865,-23.665,Normal
Hey There Delilah,Boyce Avenue,acoustic,49,0.664,0.319,0.258,105.036,-8.149,Normal
Arcade,Andrew Foy;Renee Foy,acoustic,37,0.408,0.266,0.35,143.651,-12.9,Normal
